
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
30-Nov-2018,21:24,,"Bus journey, route 93",1.50,,17.10,""
30-Nov-2018,20:31,21:17,"Marylebone [London Underground] to Morden",2.80,,18.60,""
30-Nov-2018,07:27,08:14,"Morden to Marylebone [London Underground]",3.90,,21.40,""
29-Nov-2018,18:54,,"Bus journey, route 93",1.50,,25.30,""
29-Nov-2018,18:54,,"Auto top-up, bus route 93",,20.00,26.80,""
29-Nov-2018,18:04,18:52,"Marylebone [London Underground] to Morden",3.90,,6.80,""
29-Nov-2018,07:44,08:34,"Morden to Marylebone [London Underground]",3.90,,10.70,""
28-Nov-2018,19:51,,"Bus journey, route 93",1.50,,14.60,""
28-Nov-2018,18:57,19:46,"Marylebone [London Underground] to Morden",2.80,,16.10,""
28-Nov-2018,07:48,08:34,"Morden to Marylebone [London Underground]",3.90,,18.90,""
27-Nov-2018,19:24,,"Bus journey, route 93",1.50,,22.80,""
27-Nov-2018,18:32,19:20,"Marylebone [London Underground] to Morden",3.90,,24.30,""
27-Nov-2018,18:32,,"Auto top-up, Marylebone [London Underground]",,20.00,28.20,""
27-Nov-2018,07:42,08:29,"Morden to Marylebone [London Underground]",3.90,,8.20,""
26-Nov-2018,19:26,,"Bus journey, route 93",1.50,,12.10,""
26-Nov-2018,18:28,19:25,"Marylebone [London Underground] to Morden",3.90,,13.60,""
26-Nov-2018,07:59,08:48,"Morden to Marylebone [London Underground]",3.90,,17.50,""
23-Nov-2018,22:01,22:32,"Embankment to Morden",2.80,,21.40,""
23-Nov-2018,17:57,18:11,"Marylebone [London Underground] to Charing Cross [London Underground]",2.40,,24.20,""
23-Nov-2018,17:57,,"Auto top-up, Marylebone [London Underground]",,20.00,26.60,""
23-Nov-2018,07:37,08:23,"Morden to Marylebone [London Underground]",3.90,,6.60,""
22-Nov-2018,19:06,,"Bus journey, route 93",1.50,,10.50,""
22-Nov-2018,18:12,18:59,"Marylebone [London Underground] to Morden",3.90,,12.00,""
22-Nov-2018,07:45,08:34,"Morden to Marylebone [London Underground]",3.90,,15.90,""
21-Nov-2018,19:17,,"Bus journey, route 93",.00,,19.80,"You have not been charged for this journey as it is viewed as a continuation of your previous journey"
21-Nov-2018,18:52,,"Bus journey, route 93",1.50,,19.80,""
21-Nov-2018,18:00,18:51,"Marylebone [London Underground] to Morden",3.90,,21.30,""
21-Nov-2018,07:53,08:41,"Morden to Marylebone [London Underground]",3.90,,25.20,""
21-Nov-2018,07:53,,"Auto top-up, Morden",,20.00,29.10,""
20-Nov-2018,19:42,,"Bus journey, route 93",1.50,,9.10,""
20-Nov-2018,18:49,19:34,"Marylebone [London Underground] to Morden",3.90,,10.60,""
20-Nov-2018,07:36,08:23,"Morden to Marylebone [London Underground]",3.90,,14.50,""
19-Nov-2018,19:25,,"Bus journey, route 93",1.50,,18.40,""
19-Nov-2018,18:26,19:16,"Marylebone [London Underground] to Morden",3.90,,19.90,""
19-Nov-2018,07:53,08:44,"Morden to Marylebone [London Underground]",3.90,,23.80,""
19-Nov-2018,07:53,,"Auto top-up, Morden",,20.00,27.70,""
17-Nov-2018,19:23,20:00,"Charing Cross [London Underground] to Morden",2.80,,7.70,""
17-Nov-2018,16:25,17:06,"Morden to Piccadilly Circus",2.80,,10.50,""
17-Nov-2018,16:04,,"Bus journey, route 413",1.50,,13.30,""
16-Nov-2018,20:04,,"Bus journey, route 93",1.50,,14.80,""
16-Nov-2018,19:09,19:58,"Marylebone [London Underground] to Morden",2.80,,16.30,""
16-Nov-2018,07:42,08:29,"Morden to Marylebone [London Underground]",3.90,,19.10,""
15-Nov-2018,19:24,,"Bus journey, route 93",1.50,,23.00,""
15-Nov-2018,18:36,19:23,"Marylebone [London Underground] to Morden",3.90,,24.50,""
15-Nov-2018,18:36,,"Auto top-up, Marylebone [London Underground]",,20.00,28.40,""
15-Nov-2018,07:33,08:23,"Morden to Marylebone [London Underground]",3.90,,8.40,""
14-Nov-2018,19:05,,"Bus journey, route 93",1.50,,12.30,""
14-Nov-2018,18:13,19:01,"Marylebone [London Underground] to Morden",3.90,,13.80,""
14-Nov-2018,07:38,08:23,"Morden to Marylebone [London Underground]",3.90,,17.70,""
12-Nov-2018,19:18,,"Bus journey, route 93",1.50,,21.60,""
12-Nov-2018,18:29,19:17,"Marylebone [London Underground] to Morden",3.90,,23.10,""
12-Nov-2018,18:29,,"Auto top-up, Marylebone [London Underground]",,20.00,27.00,""
12-Nov-2018,07:53,08:47,"Morden to Marylebone [London Underground]",3.90,,7.00,""
09-Nov-2018,19:30,,"Bus journey, route 93",1.50,,10.90,""
09-Nov-2018,18:40,19:27,"Marylebone [London Underground] to Morden",3.90,,12.40,""
09-Nov-2018,08:05,08:50,"Morden to Marylebone [London Underground]",3.90,,16.30,""
08-Nov-2018,18:52,,"Bus journey, route 93",1.50,,20.20,""
08-Nov-2018,17:58,18:47,"Marylebone [London Underground] to Morden",3.90,,21.70,""
08-Nov-2018,07:29,08:15,"Morden to Marylebone [London Underground]",3.90,,25.60,""
08-Nov-2018,07:29,,"Auto top-up, Morden",,20.00,29.50,""
07-Nov-2018,19:34,,"Bus journey, route 93",1.50,,9.50,""
07-Nov-2018,18:26,19:19,"Marylebone [London Underground] to Morden",3.90,,11.00,""
07-Nov-2018,07:35,08:23,"Morden to Marylebone [London Underground]",3.90,,14.90,""
06-Nov-2018,19:30,,"Bus journey, route 93",1.50,,18.80,""
06-Nov-2018,18:33,19:25,"Marylebone [London Underground] to Morden",3.90,,20.30,""
06-Nov-2018,07:45,08:32,"Morden to Marylebone [London Underground]",3.90,,24.20,""
05-Nov-2018,19:00,,"Bus journey, route 93",1.50,,28.10,""
05-Nov-2018,19:00,,"Auto top-up, bus route 93",,20.00,29.60,""
05-Nov-2018,18:05,18:57,"Marylebone [London Underground] to Morden",3.90,,9.60,""
05-Nov-2018,07:34,08:23,"Morden to Marylebone [London Underground]",3.90,,13.50,""
02-Nov-2018,20:08,,"Bus journey, route 93",1.50,,17.40,""
02-Nov-2018,19:17,20:04,"Marylebone [London Underground] to Morden",2.80,,18.90,""
02-Nov-2018,07:49,08:36,"Morden to Marylebone [London Underground]",3.90,,21.70,""
01-Nov-2018,17:28,,"Bus journey, route 93",1.50,,25.60,""
01-Nov-2018,16:26,17:15,"Marylebone [London Underground] to Morden",3.90,,27.10,""
01-Nov-2018,16:26,,"Topped-up on touch in, Marylebone [London Underground]",,20.00,31.00,""
01-Nov-2018,07:37,08:25,"Morden to Marylebone [London Underground]",3.90,,11.00,""
